Asset,Rows,Missing_Total,Missing_Pct,Zeros_Total,Integrity_Issues,Start_Date,End_Date,Missing_Open,Missing_High,Missing_Low,Missing_Close,Missing_Volume
Asset_001,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_002,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_003,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_004,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_005,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_006,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_007,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_008,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_009,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_010,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_011,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_012,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_013,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_014,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_015,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_016,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_017,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_018,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_019,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_020,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_021,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_022,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_023,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_024,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_025,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_026,2511,0,0.0,0,3,2016-01-25,2026-01-16,0,0,0,0,0
Asset_027,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_028,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_029,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_030,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_031,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_032,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_033,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_034,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_035,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_036,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_037,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_038,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_039,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_040,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_041,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_042,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_043,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_044,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_045,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_046,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_047,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_048,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_049,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_050,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_051,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_052,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_053,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_054,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_055,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_056,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_057,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_058,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_059,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_060,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_061,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_062,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_063,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_064,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_065,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_066,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_067,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_068,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_069,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_070,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_071,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_072,2511,0,0.0,0,3,2016-01-25,2026-01-16,0,0,0,0,0
Asset_073,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_074,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_075,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_076,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_077,2511,0,0.0,1,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_078,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_079,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_080,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_081,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_082,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_083,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_084,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_085,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_086,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_087,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_088,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_089,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_090,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_091,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_092,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_093,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_094,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_095,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_096,2511,0,0.0,0,1,2016-01-25,2026-01-16,0,0,0,0,0
Asset_097,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_098,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_099,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
Asset_100,2511,0,0.0,0,0,2016-01-25,2026-01-16,0,0,0,0,0
